WILDLIFE_TYPE,SPECIES,ISSUE,ACTION,CREATED_DATE,DIVISION
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/19,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/19,LYNEHAM
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/19,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/24,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/24,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/25,RURAL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/12/26,GILMORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/23,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/23,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/23,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/23,CHAPMAN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/12/22,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/23,WANNIASSA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/23,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/23,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/21,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/21,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/13,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/13,GRIFFITH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/14,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/14,GARRAN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/12/13,RICHARDSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/12/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/12,CURTIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/12,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/12,CALWELL
MACROPOD,SWAMP WALLABY,INJURED/SICK,ATTENDED BUT NO ACTION REQUIRED,2016/12/12,ISABELLA PLAINS
MACROPOD,RED NECKED WALLABY,INJURED/SICK,NO ACTION REQUIRED,2016/12/11,HOLDER
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/11,THROSBY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/12,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/18,MONASH
MACROPOD,WALLAROO,DEAD,CARCASS REMOVED,2016/12/18,WANNIASSA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/18,DEAKIN
MACROPOD,WALLAROO,INJURED/SICK,EUTHANASED,2016/12/18,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/18,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/18,HUGHES
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/16,TORRENS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/17,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/17,RURAL
MACROPOD,SWAMP WALLABY,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/12/14,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/14,PHILLIP
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/09,CALWELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/10,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/08,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/01/07,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/06,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/06,HARRISON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/06,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/07,FYSHWICK
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/12,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/12,CONDER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/12,PEARCE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,HUME
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2017/01/11,CONDER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2017/01/11,HUME
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/11,BRUCE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/10,GILMORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,CAPITAL HILL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/11,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/31,GARRAN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/31,CURTIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/01,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/01/01,RURAL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/12/28,HARRISON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/30,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/30,GARRAN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/30,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/27,GARRAN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/27,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/27,YARRALUMLA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/27,CALWELL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/12/26,GRIFFITH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/26,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/26,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/27,GARRAN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/06,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/06,FADDEN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/06,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/06,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/05,DOWNER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/05,BANKS
MACROPOD,SWAMP WALLABY,INJURED/SICK,EUTHANASED,2017/01/04,GRIFFITH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/04,CALWELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/02,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/02,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/01/03,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/01/03,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/26,MONASH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/27,RURAL
MACROPOD,SWAMP WALLABY,DEAD,CARCASS REMOVED,2016/11/26,REID
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/26,FARRER
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/26,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/26,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/25,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/11/25,RICHARDSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/25,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/24,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NO ACTION REQUIRED,2016/11/29,ACTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/30,ACTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/30,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/30,BRUCE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/28,WESTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/28,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/28,RURAL
MACROPOD,SWAMP WALLABY,INJURED/SICK,EUTHANASED,2016/11/29,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/27,THEODORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/28,CHIFLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/28,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/28,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/27,BRUCE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/27,NARRABUNDAH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/11/18,GARRAN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/19,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/15,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/11/16,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/11/16,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/16,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/16,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/16,GUNGAHLIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/17,CONDER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/11/15,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/15,CAPITAL HILL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/15,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/15,PARKES
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/19,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/20,RUSSELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/20,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/24,RURAL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/11/24,CHARNWOOD
MACROPOD,WALLAROO,DEAD,CARCASS REMOVED,2016/11/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/11/19,FORREST
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/11/19,GUNGAHLIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/23,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/11/23,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/23,ACTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/23,RURAL
MACROPOD,SWAMP WALLABY,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/11/21,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/11/23,RURAL
MACROPOD,SWAMP WALLABY,INJURED/SICK,ATTENDED BUT NO ACTION REQUIRED,2016/11/23,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/23,DEAKIN
MACROPOD,SWAMP WALLABY,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/12/10,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,ATTENDED BUT NOT LOCATED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/08,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/08,CONDER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/08,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,TRAPPED,EUTHANASED,2016/12/08,WATSON
MACROPOD,WALLAROO,DEAD,CARCASS REMOVED,2016/12/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/11,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,NO ACTION REQUIRED,2016/12/11,RICHARDSON
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/10,PARKES
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/10,FORDE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/10,WANNIASSA
MACROPOD,SWAMP WALLABY,DEAD,CARCASS REMOVED,2016/12/03,O'CONNOR
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/03,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/03,CONDER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/04,PARKES
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/02,PEARCE
MACROPOD,SWAMP WALLABY,DEAD,CARCASS REMOVED,2016/12/02,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/02,HUME
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NO ACTION REQUIRED,2016/12/03,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/11/30,DICKSON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/01,WESTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/12/01,GOWRIE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/01,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/11/30,CURTIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/30,CASEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/30,NICHOLLS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/11/30,YARRALUMLA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/07,RURAL
MACROPOD,SWAMP WALLABY,DEAD,CARCASS REMOVED,2016/12/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/07,RURAL
MACROPOD,WALLAROO,DEAD,CARCASS REMOVED,2016/12/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/07,DUFFY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/07,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/05,GOWRIE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/05,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/06,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/12/06,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/04,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/04,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/05,CONDER
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/12/05,CURTIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,WATSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,COOK
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/02/04,PEARCE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2017/02/04,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/03,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/03,FADDEN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/02/04,RED HILL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/03,WARAMANGA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/02/03,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/03,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/02/03,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/07,LYONS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/02/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/02/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/02/07,RURAL
MACROPOD,SWAMP WALLABY,INJURED/SICK,EUTHANASED,2017/02/06,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/06,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/06,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/02/06,CHIFLEY
